page_id,title,founder_pattern,founder_pattern_numeric,idea_pattern,idea_pattern_numeric,structural_advantage,structural_advantage_numeric,asymmetric_signal,asymmetric_signal_numeric,methods,notes
28b101d8-0eba-81c2-a10f-da6f1e271795,PolinaOS,,20,,28,,26,,4,,skipped_already_filled
28b101d8-0eba-8124-bd47-d3b3cd46fb4b,Deeptics,,20,,31,,27,,4,,skipped_already_filled
28b101d8-0eba-817f-86ae-ec2785283851,Vivoor,,20,,28,,26,,4,,skipped_already_filled
28b101d8-0eba-814a-ad6b-dfbe3af28cea,Nexa Coin (NXC),,6,,8,,6,,1,,skipped_already_filled
28b101d8-0eba-81fe-8085-d89b43bb725c,Relace,,-1,,-1,,-1,,-1,,skipped_already_filled
28b101d8-0eba-8176-a5e7-f812322e504b,BytePlus,,-1.0,,-1.0,,-1.0,,-1.0,,assigned_failure:founder_pattern | assigned_failure:idea_pattern | assigned_failure:structural_advantage | assigned_failure:asymmetric_signal
28b101d8-0eba-81dc-a3ca-d08d859782aa,Chroma Awards,,-1.0,,-1.0,,-1.0,,-1.0,,assigned_failure:founder_pattern | assigned_failure:idea_pattern | assigned_failure:structural_advantage | assigned_failure:asymmetric_signal
28b101d8-0eba-8183-9913-f4f4179fa536,VTGO充电币 (VTGO_US),16/25,16.0,24/35,24.0,19/35,19.0,1/5,1.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-8132-b241-cb932911d1bc,StackFi,18/25,18.0,26/35,26.0,24/35,24.0,3/5,3.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-81e4-8beb-f7c037b414a7,Subly,21/25,21.0,27/35,27.0,23/35,23.0,3/5,3.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-8101-8829-f7755a80f4e5,Dream Lab LA,,-1.0,,-1.0,,-1.0,,-1.0,,assigned_failure:founder_pattern | assigned_failure:idea_pattern | assigned_failure:structural_advantage | assigned_failure:asymmetric_signal
28b101d8-0eba-8178-93db-cafb5525b13b,Plone Conference 2025,,-1.0,,-1.0,,-1.0,,-1.0,,assigned_failure:founder_pattern | assigned_failure:idea_pattern | assigned_failure:structural_advantage | assigned_failure:asymmetric_signal
28b101d8-0eba-810a-9c12-da811eb06461,Thesys,,-1.0,30,-1.0,27001,-1.0,8,-1.0,idea_pattern:llm_fallback; structural_advantage:llm_fallback; asymmetric_signal:llm_fallback,assigned_failure:founder_pattern | assigned_failure:idea_pattern | assigned_failure:structural_advantage | assigned_failure:asymmetric_signal
28b101d8-0eba-81d2-ac77-d939e91b199e,SNAP,19/25,19.0,28/35,28.0,27/35,27.0,4/5,4.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-8158-9dfa-f2fd85525f31,Noma Protocol,20/25,20.0,28/35,28.0,25/35,25.0,4/5,4.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-814c-852a-ca4ebd6de2c0,FeenixAI,18/25,18.0,28/35,28.0,24/35,24.0,2/5,2.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_global,
28b101d8-0eba-81c3-bf72-da69526c3b3b,Binance Super Smart Chain (BSSC),21/25,21.0,28/35,28.0,26/35,26.0,4/5,4.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-81af-b024-cadfd07f6560,Arcadia,19/25,19.0,31/35,31.0,24/35,24.0,3/5,3.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-8147-9d7d-c8aecd05205e,Jolt Finance,19/25,19.0,22/35,22.0,20/35,20.0,3/5,3.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-8166-8c22-c1ac38b93e19,Neuphonic,,-1.0,,-1.0,approximately £3M (€3.5M),-1.0,"3,012 stars",-1.0,structural_advantage:llm_fallback; asymmetric_signal:llm_fallback,assigned_failure:founder_pattern | assigned_failure:idea_pattern | assigned_failure:structural_advantage | assigned_failure:asymmetric_signal
28b101d8-0eba-81d7-991d-e4722eb5a10b,Virel Protocol,21/25,21.0,28/35,28.0,26/35,26.0,4/5,4.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-81f5-b3e7-d8c1c221833e,AIKEK (@aikek_agent),20/25,20.0,30/35,30.0,28/35,28.0,4/5,4.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-813d-b29c-d423012100cd,Oracle (acc/tism),21/25,21.0,27/35,27.0,26/35,26.0,4/5,4.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
